JUDGE,AG_RTD_TEMP_GLASS_OUT,BUS_DEVELOP_TEMP_TANK2,DIELEC_FIRE_EXHAUST_HEAT2,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_TEMP_HOOD_START,PHOS_FIRE_EXHAUST_HEAT3,BUS_DEVELOP_TEMP_TANK1,AG_EXPOSURE_TEMP_MASK,PHOS_FIRE_EXHAUST_HEAT2,TAT_6PHOS_4FIRE,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_8AGING,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_2RTD,TAT_6PHOS_1R_1DISPENSER
양품,43.0,31.0,2148,165.9,108.0,4444,23.112,23.58,4080.0,6840,6780,6600,9749,96,220,69,86
양품,45.4,31.4,2172,166.6,156.0,4445,23.5,23.406999999999996,4063.0,7144,6867,6453,10074,86,210,74,78
양품,46.3,30.526999999999997,2155,166.1,136.0,4458,23.404,23.484,4089.0,7114,6927,6453,10074,88,210,72,78
양품,42.1,31.064,2169,167.0,155.9,4466,23.401,23.375999999999998,4106.0,7050,6987,6453,9750,88,220,69,90
양품,44.6,31.4,2172,166.5,130.0,4463,23.5,23.39,4050.0,7110,7020,6447,10076,88,200,77,78
양품,44.6,31.182,2171,167.8,138.0,4483,23.393,23.635,4096.0,7020,7437,6480,10074,86,220,75,80
양품,43.3,30.813000000000002,2186,167.0,156.0,4468,23.497,23.458000000000002,4004.0,7165,6933,6453,10074,86,220,74,78
양품,45.6,30.732,2225,167.8,104.0,4436,23.5,23.7,3986.0,7140,6960,6453,10076,86,210,69,78
양품,44.0,31.0,2100,167.2,137.0,4714,23.1,23.432,3974.0,6865,6780,6573,9750,78,240,69,78
양품,42.6,31.4,2199,168.3,136.0,4430,23.505,23.732,4008.0,6785,6933,6447,9750,88,230,69,78
양품,46.4,31.4,2191,167.4,108.0,4452,23.433000000000003,23.5,4076.0,7290,6900,6453,10074,86,210,69,80
양품,47.0,30.975,2155,165.9,158.0,4477,23.381999999999998,23.416,4063.0,7110,7473,6480,10074,88,210,72,88
양품,43.7,31.4,2319,167.0,112.0,4479,23.491999999999997,23.445999999999998,4090.0,7286,6987,6447,9751,88,210,66,78
양품,45.3,31.058000000000003,2162,167.5,94.0,4481,23.362,23.397,4090.0,7110,7500,6453,10075,86,220,69,78
양품,44.4,31.09,2151,167.5,112.0,4469,23.391,23.428,4053.0,7195,7053,6507,10076,88,210,72,80
양품,46.5,31.015,2150,167.0,133.0,4488,23.364,23.471999999999998,4120.0,6840,6540,6873,10076,80,250,72,78
양품,41.9,31.4,2172,166.7,128.0,4707,23.508000000000003,23.5,3957.0,6810,6900,6480,10073,88,250,78,96
양품,45.2,30.8,2253,166.7,91.0,4514,23.5,23.273000000000003,4088.0,6930,6840,6453,9750,88,220,72,78
양품,36.6,30.686,2124,165.6,137.0,4551,23.305999999999997,23.6,4065.0,6836,6837,6540,10073,88,230,68,80
양품,44.1,31.1,2199,167.0,142.0,4474,23.4,23.659000000000002,4080.0,8970,7440,6567,10075,88,210,69,78
양품,43.3,31.343000000000004,2163,167.6,125.0,4450,23.5,23.766,4109.0,7084,6867,6447,10076,86,250,69,78
양품,46.3,30.791999999999998,2170,168.1,159.0,4482,23.371,23.641,4073.0,7110,7500,6453,10076,86,200,75,76
양품,43.7,31.2,2154,167.0,159.0,4473,23.4,23.665,4010.0,8970,7440,6600,10075,86,220,69,80
양품,42.5,30.765,2117,168.4,156.0,4485,23.139,23.455,4050.0,6844,6753,6600,10077,78,240,74,78
양품,44.8,31.4,2133,166.6,121.0,4479,23.444000000000003,23.405,4030.0,7260,6927,8973,9750,86,250,69,90
양품,44.9,30.913,2204,165.1,159.0,4464,23.4,23.629,4087.0,8970,7440,6573,10076,86,210,72,78
양품,46.8,31.0,2118,168.0,155.5,4431,23.1,23.599,4081.0,6986,6813,6540,10074,80,240,69,78
양품,44.7,31.4,2185,166.4,104.0,4525,23.509,23.409000000000002,4066.0,6990,6960,6453,9750,88,250,69,80
양품,47.3,30.8,2127,165.1,95.0,4460,23.4,23.355,4134.0,7080,6660,6573,9750,94,230,72,76
양품,39.2,31.34,2135,168.1,102.0,4448,23.4,23.4,4081.0,6810,7047,6513,10075,100,220,69,78
양품,45.8,30.688000000000002,2162,166.7,136.0,4462,23.416999999999998,23.551,4067.0,7170,6960,6447,10076,88,210,69,80
양품,46.2,31.109,2127,167.8,116.0,4428,23.5,23.712,3996.0,7085,7113,6507,10076,86,220,69,78
양품,43.2,31.0,2179,168.3,156.0,4471,23.1,23.564,4047.0,6934,6840,6540,10073,80,230,69,78
양품,43.2,31.299,2183,168.1,155.6,4450,23.471,23.601,4068.0,6780,7080,6513,10076,88,210,69,76
양품,42.2,30.805999999999997,2192,167.3,130.0,4539,23.5,23.613000000000003,4088.0,7110,6867,6453,10074,88,220,72,80
양품,44.6,31.046,2207,167.3,126.0,4466,23.401999999999997,23.3,4064.0,6780,7020,6480,10074,100,210,69,80
양품,47.1,30.8,2128,166.2,118.0,4473,23.401,23.651,4059.0,6960,6687,6600,10076,88,210,72,78
양품,46.7,30.8,2137,166.5,98.0,4476,23.410999999999998,23.363000000000003,3992.0,6960,6720,6600,9750,86,220,74,80
양품,42.5,31.4,2169,164.5,158.0,4434,23.5,23.704,4029.0,7020,7047,6453,10076,86,210,69,80
양품,43.9,31.4,2169,166.1,107.0,4441,23.503,23.744,3991.0,6960,7020,6453,10075,86,220,75,78
양품,46.4,30.833000000000002,2152,167.8,103.0,4454,23.403000000000002,23.389,3984.0,8970,7107,6573,10074,86,220,69,76
양품,44.5,30.752,2219,166.2,143.0,4452,23.405,23.636,4111.0,7115,6900,6447,10074,86,210,72,80
양품,44.0,30.685,2187,168.4,158.0,4459,23.5,23.651,4182.0,7140,6873,6480,10076,86,210,66,78
양품,45.0,30.76,2347,168.5,121.0,4446,23.403000000000002,23.628,3988.0,7230,6867,6420,10076,88,210,69,100
양품,44.4,31.4,2166,167.9,117.0,4474,23.488000000000003,23.456,4023.0,7345,6987,6420,10076,88,220,72,78
양품,45.8,31.4,2312,166.6,155.9,4593,23.443,23.401,3986.0,7260,6933,6453,10076,86,210,66,80
양품,47.3,30.7,2220,167.9,156.0,4461,23.409000000000002,23.51,4065.0,6990,6933,6453,10074,88,210,72,78
양품,41.3,30.8,2127,165.1,109.0,4460,23.4,23.355,4134.0,7080,6660,6573,10074,94,230,72,76
양품,45.0,30.76,2347,167.1,155.2,4465,23.403000000000002,23.628,4007.0,7290,6867,6420,9750,88,210,69,78
양품,43.7,30.721,2190,168.5,145.0,4456,23.358,23.421,4081.0,7170,7473,6420,9749,87,210,66,0
양품,45.9,30.84,2174,167.0,121.0,4449,23.403000000000002,23.603,4109.0,7170,6900,6420,9749,88,210,69,78
양품,42.3,30.8,2141,167.7,93.0,4462,23.39,23.372,4074.0,6750,6960,6420,10076,88,210,72,80
양품,43.0,31.0,2148,167.2,130.0,4468,23.112,23.58,4068.0,6840,6780,6600,10075,96,220,69,88
양품,38.8,31.078000000000003,2188,168.4,95.0,4436,23.355,23.651,4006.0,7115,7380,6453,10076,88,220,72,78
양품,41.9,31.0,2176,166.6,139.0,4431,23.1,23.441999999999997,4052.0,6814,6813,6540,10074,78,240,69,80
양품,46.3,30.0,2168,167.9,126.0,4440,22.811999999999998,23.272,4032.0,6960,6747,6480,10074,98,210,69,80
양품,40.4,31.4,2193,166.2,130.0,4451,23.505,23.5,3980.0,7020,6960,6447,10074,88,230,69,78
양품,44.5,30.8,2215,167.3,105.0,4474,23.401,23.4,4109.0,6960,6720,6510,9750,86,220,69,94
양품,39.4,31.099,2110,167.0,155.5,4420,23.3,23.515,4019.0,7106,6867,6600,9751,88,220,69,80
양품,43.6,31.4,2164,166.5,90.0,4463,23.5,23.432,4050.0,7110,7020,6480,9750,87,220,72,78
양품,43.7,30.706999999999997,2157,166.3,124.0,4445,23.5,23.496,3996.0,7140,6933,6507,10075,88,220,69,78
양품,39.7,31.4,2209,166.1,100.0,4457,23.488000000000003,23.631999999999998,4064.0,7170,6867,6420,9751,86,210,69,80
양품,43.2,30.694000000000003,2222,166.9,156.1,4466,23.5,23.5,4108.0,7140,6807,6480,10076,86,210,69,78
양품,42.5,31.002,2200,167.8,136.0,4494,23.403000000000002,23.646,4104.0,8996,7140,6573,10075,86,190,72,82
양품,44.4,31.4,2220,166.6,156.0,4421,23.5,23.448,3980.0,7140,6900,6507,10074,86,210,69,78
양품,41.8,30.945999999999998,2142,167.8,156.0,4438,23.134,23.393,4080.0,6840,6720,6627,9751,78,230,69,92
명점,45.2,31.274,2193,167.8,119.0,4482,23.5,23.399,4087.0,7084,7080,6453,9750,86,220,69,80
양품,45.7,30.862,2055,165.8,145.0,4414,23.0,23.366999999999997,4074.0,7110,7680,6573,10074,86,210,74,100
양품,44.4,31.2,2149,166.5,103.0,4410,23.2,23.454,4008.0,6845,6720,6627,9749,78,230,74,76
양품,44.4,31.4,2220,166.6,156.0,4445,23.5,23.448,4063.0,7144,6900,6507,9750,86,210,69,78
양품,42.7,31.058000000000003,2152,167.0,97.0,4471,23.416999999999998,23.668000000000003,4010.0,6840,6900,6513,10075,86,210,75,78
양품,45.0,30.0,2168,166.7,118.0,4443,22.801,23.5,3934.0,6960,6807,6480,9750,100,210,69,80
양품,43.2,31.0,2111,167.1,155.2,4439,23.1,23.641,4066.0,6866,6780,6573,9750,80,240,69,80
양품,46.0,31.1,2148,168.0,156.0,4476,23.403000000000002,23.401999999999997,4023.0,8970,7173,6567,10076,88,210,72,76
양품,46.0,30.8,2151,167.2,121.0,4460,23.386,23.4,4024.0,6750,6900,6453,10076,88,210,69,84
양품,47.6,30.765,2176,165.3,98.0,4447,23.5,23.655,4080.0,7140,6933,6540,10076,86,210,69,100
양품,40.2,31.4,2188,167.0,133.0,4479,23.451,23.644000000000002,4090.0,7286,6960,6420,9749,88,220,69,78
양품,44.9,31.4,2138,167.4,113.0,4452,23.434,23.689,4076.0,7290,6900,6447,10076,88,200,66,80
양품,41.8,30.945999999999998,2142,168.2,155.5,4448,23.134,23.393,4003.0,6865,6720,6627,9749,78,230,69,78
양품,41.9,31.0,2176,168.4,155.9,4447,23.1,23.441999999999997,3963.0,6960,6813,6540,10075,78,240,69,78
양품,45.8,31.17,2173,167.3,137.0,4446,23.5,23.489,3983.0,7110,6867,6447,10076,88,240,72,80
양품,46.0,30.8,2151,166.8,154.3,4468,23.386,23.4,4082.0,6780,6900,6453,10075,88,210,69,78
양품,42.3,31.0,2192,167.2,155.3,4419,23.112,23.419,3960.0,6840,6780,6600,10073,94,210,69,86
명점,45.6,31.9,2167,164.9,90.0,4508,23.393,23.424,4005.0,6810,6840,6840,10074,86,220,69,82
명점,46.9,31.508000000000003,2115,165.4,100.0,4421,23.401,23.647,4043.0,7046,7020,6453,10077,88,210,74,80
양품,41.8,30.945999999999998,2142,168.2,155.5,4448,23.134,23.393,4003.0,6865,6720,6627,9749,78,230,69,78
양품,44.3,31.4,2193,165.7,131.0,4446,23.5,23.412,4091.0,7016,6993,6513,10076,90,220,66,80
양품,42.0,30.8,2116,165.5,148.0,4468,23.5,23.340999999999998,3999.0,7140,6867,6480,10075,88,220,72,78
양품,44.5,31.0,2115,167.1,155.2,4439,23.101,23.394000000000002,4066.0,6866,6780,6540,9750,78,240,69,80
양품,46.2,30.8,2027,167.0,133.0,4389,23.399,23.644000000000002,3970.0,7115,6960,6600,10076,86,220,69,80
양품,44.6,31.4,2161,166.5,95.0,4457,23.5,23.458000000000002,4076.0,7170,6900,6420,10076,86,240,75,80
양품,41.2,31.1,2173,167.3,158.0,4473,23.429000000000002,23.456999999999997,4108.0,6780,6807,6507,10075,86,220,72,98
양품,46.3,31.104,2147,166.7,125.0,4451,23.4,23.4,3992.0,8970,7413,6540,10076,88,230,69,80
양품,46.1,30.961,2203,168.0,154.0,4480,23.409000000000002,23.454,4087.0,6874,7047,6540,10077,86,220,72,78
양품,44.6,31.343000000000004,2163,165.0,152.0,4445,23.5,23.766,4189.0,7290,6867,6447,10075,86,250,69,80
양품,44.0,31.0,2100,166.8,155.3,4461,23.1,23.432,4058.0,6866,6780,6573,10074,78,240,69,100
양품,40.8,30.995,2199,168.0,156.0,4452,23.401999999999997,23.427,4009.0,8970,7287,6630,10074,88,210,69,78
양품,45.0,31.4,2165,166.2,156.0,4466,23.5,23.796999999999997,4062.0,7170,6900,6447,10074,88,220,69,78
양품,48.0,30.75,2187,166.8,155.2,4465,23.405,23.4,4074.0,7260,6900,6447,9750,86,220,75,78
양품,44.7,30.706,2161,166.7,156.0,4540,23.482,23.467,4078.0,7110,6900,6480,10075,88,210,69,80
명점,47.1,31.6,2155,164.9,118.0,4480,23.309,23.862,4020.0,6725,6753,6480,9750,86,210,69,80
양품,46.1,31.116999999999997,2203,165.7,108.0,4415,23.395,23.5,4100.0,7260,7107,6507,10076,88,220,75,80
양품,45.7,31.006,2117,168.7,102.0,4746,23.362,23.649,3988.0,7115,7500,6447,10076,88,230,74,80
양품,46.2,30.919,2142,167.2,147.0,4503,23.416,23.5,3978.0,7260,6900,6447,10074,86,230,72,78
양품,43.4,30.0,2168,165.6,135.0,4416,22.816,23.267,3932.0,6960,6813,6480,9749,87,220,69,82
양품,46.7,31.5,2373,163.2,88.8,4449,23.392,24.0,4007.0,6805,6900,6633,9750,88,210,69,98
양품,44.4,31.4,2220,166.6,156.0,4421,23.5,23.448,3980.0,7140,6900,6507,10074,86,210,69,78
명점,44.4,32.047,2173,165.6,140.0,4423,23.4,23.7,3992.0,7015,6780,6507,9750,88,220,69,80
양품,46.0,31.226999999999997,2193,168.3,119.0,4436,23.461,23.609,4005.0,6865,7053,6513,10076,88,220,75,80
양품,44.7,31.4,2185,166.4,128.0,4432,23.509,23.409000000000002,4006.0,7050,6960,6453,10074,88,250,69,78
양품,43.2,31.0,2179,168.0,131.0,4422,23.1,23.564,3967.0,6960,6840,6540,9750,80,230,69,80
양품,42.5,30.886999999999997,2184,165.6,142.0,4498,23.406,23.624000000000002,4098.0,6840,6987,6480,10075,88,220,72,76
양품,40.9,30.671999999999997,2133,167.1,137.0,4443,23.143,23.428,4004.0,6865,6753,6600,10074,80,240,69,78
