JUDGE,PANEL_ID,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,PNL-13,571,573,552,533,2028,2191,3238,3408,3267,3576,3163
양품,PNL-14,574,572,558,537,2115,2155,2331,3333,3842,3018,2965
양품,PNL-15,572,572,555,536,2027,2319,3172,3555,3296,3205,3148
양품,PNL-16,573,568,548,532,1993,2162,3182,3504,3432,3134,3213
양품,PNL-17,572,571,554,534,2022,2151,3156,3429,3333,3177,3158
양품,PNL-18,573,573,558,538,2131,2150,2256,3323,3781,3441,2853
양품,PNL-19,573,572,558,534,2114,2172,2264,3382,3831,3002,2941
양품,PNL-20,569,574,552,533,2023,2253,3242,3538,3365,3210,3144
양품,PNL-01,571,572,558,537,2146,2124,2285,3258,3902,3075,2882
명점,PNL-02,574,573,560,534,2154,2349,2285,3323,3776,3093,2902
양품,PNL-03,571,576,555,534,2159,2199,2315,3252,3902,3035,3322
양품,PNL-04,574,576,553,532,2114,2163,2328,3372,3896,3125,2961
양품,PNL-05,575,574,557,534,2145,2170,2321,3380,3822,3048,2895
양품,PNL-06,572,575,556,533,2317,2154,2537,3283,3898,3063,2904
양품,PNL-07,573,576,560,538,2142,2117,2272,3214,3783,3434,2928
양품,PNL-08,575,575,559,535,2115,2133,2299,3318,3801,3099,2977
양품,PNL-09,568,574,550,531,2017,2204,3228,3563,3355,3205,3149
양품,PNL-10,575,577,555,534,2294,2118,2276,3234,3824,3017,2921
양품,PNL-11,576,572,555,534,2104,2185,2369,3280,3850,3037,2886
양품,PNL-12,573,573,557,536,2111,2127,2330,3248,3917,3079,3154
양품,PNL-13,572,575,559,536,2158,2135,2284,3358,3867,3033,2959
양품,PNL-14,571,575,550,533,2040,2162,3159,3589,3289,3121,3138
양품,PNL-15,575,575,556,533,2149,2127,2277,3227,4177,3019,2964
양품,PNL-16,570,571,551,535,1995,2179,3183,3399,3303,3338,3120
양품,PNL-17,570,575,553,534,2051,2183,3267,3412,3342,3195,3193
