JUDGE,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,568.0,572.0,549.0,530.0,2016.0,2212.0,3241.0,3465.0,3446.0,3197.0,3165.0
양품,570.0,573.0,549.0,529.0,2019.0,2160.0,3150.0,3531.0,3343.0,3151.0,3181.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,572.0,576.0,557.0,535.0,2123.0,2162.0,2314.0,3332.0,3827.0,3390.0,2956.0
양품,568.0,570.0,550.0,536.0,2013.0,2168.0,3223.0,3507.0,3267.0,3127.0,3217.0
양품,571.0,571.0,553.0,535.0,2000.0,2149.0,3232.0,3473.0,3330.0,3158.0,3139.0
양품,575.0,575.0,557.0,536.0,2106.0,2177.0,2321.0,3294.0,3826.0,3108.0,2939.0
양품,574.0,576.0,553.0,532.0,2114.0,2163.0,2328.0,3372.0,3896.0,3125.0,2961.0
양품,575.0,577.0,557.0,534.0,2139.0,2169.0,2326.0,3258.0,3936.0,3035.0,2964.0
양품,572.0,574.0,559.0,538.0,2098.0,2163.0,2316.0,3305.0,3847.0,3117.0,2877.0
명점,570.0,574.0,549.0,532.0,2015.0,2148.0,3151.0,3392.0,3257.0,3125.0,3155.0
양품,574.0,577.0,559.0,537.0,2169.0,2344.0,2294.0,3316.0,3775.0,3117.0,2969.0
양품,569.0,575.0,553.0,534.0,2003.0,2165.0,3226.0,3555.0,3459.0,3195.0,3218.0
양품,572.0,572.0,558.0,536.0,2104.0,2169.0,2325.0,3337.0,3838.0,3159.0,3005.0
양품,574.0,572.0,558.0,536.0,2258.0,2161.0,2336.0,3260.0,3918.0,3035.0,3356.0
양품,569.0,573.0,549.0,532.0,2100.0,2203.0,3474.0,3429.0,3347.0,3171.0,3210.0
양품,569.0,574.0,552.0,533.0,2009.0,2165.0,3177.0,3396.0,3271.0,3151.0,3214.0
양품,575.0,574.0,558.0,536.0,2157.0,2181.0,2298.0,3324.0,3797.0,3033.0,2929.0
양품,569.0,572.0,550.0,530.0,2010.0,2342.0,3318.0,3429.0,3340.0,3131.0,3191.0
양품,572.0,575.0,554.0,535.0,2032.0,2163.0,3286.0,3544.0,3350.0,3223.0,3205.0
양품,576.0,570.0,544.0,527.0,2034.0,2188.0,3165.0,4034.0,3389.0,3194.0,3139.0
양품,572.0,577.0,559.0,537.0,2121.0,2142.0,2296.0,3283.0,3880.0,3105.0,2876.0
양품,574.0,574.0,556.0,533.0,2111.0,2161.0,2494.0,3276.0,3805.0,3041.0,3107.0
양품,572.0,576.0,556.0,536.0,2143.0,2152.0,2280.0,3230.0,3828.0,3054.0,2962.0
양품,569.0,574.0,552.0,533.0,2114.0,2201.0,3230.0,3456.0,3349.0,3427.0,3144.0
양품,570.0,572.0,553.0,534.0,2004.0,2199.0,3653.0,3520.0,3269.0,3127.0,3327.0
양품,575.0,576.0,557.0,532.0,2116.0,2172.0,2313.0,3261.0,3920.0,3063.0,2883.0
양품,571.0,569.0,552.0,532.0,2031.0,2198.0,3239.0,3513.0,3422.0,3198.0,3143.0
양품,572.0,575.0,559.0,536.0,2158.0,2135.0,2284.0,3358.0,3867.0,3033.0,2959.0
명점,568.0,569.0,549.0,533.0,2029.0,2145.0,3152.0,3491.0,3335.0,3214.0,3199.0
양품,571.0,574.0,551.0,532.0,2038.0,2202.0,3231.0,3511.0,3369.0,3202.0,3141.0
양품,569.0,570.0,551.0,534.0,2004.0,2176.0,3147.0,3925.0,3348.0,3117.0,3191.0
양품,573.0,575.0,560.0,538.0,2104.0,2148.0,2291.0,3283.0,3826.0,3043.0,2860.0
양품,572.0,576.0,559.0,539.0,2109.0,2172.0,2300.0,3714.0,3842.0,3049.0,2967.0
양품,571.0,573.0,548.0,528.0,2025.0,2155.0,3173.0,3524.0,3326.0,3272.0,3192.0
양품,576.0,575.0,556.0,533.0,2152.0,2169.0,2335.0,3607.0,3822.0,3079.0,2878.0
양품,570.0,572.0,553.0,533.0,1995.0,2172.0,3233.0,3509.0,3427.0,3187.0,3205.0
양품,569.0,573.0,551.0,534.0,2030.0,2171.0,3153.0,3467.0,3361.0,3310.0,3166.0
양품,575.0,574.0,557.0,536.0,2141.0,2186.0,2334.0,3259.0,3942.0,3087.0,2895.0
양품,571.0,572.0,553.0,535.0,2030.0,2225.0,3262.0,3510.0,3343.0,3220.0,3188.0
양품,575.0,573.0,558.0,537.0,2194.0,2100.0,2272.0,3270.0,3785.0,3011.0,2948.0
양품,569.0,569.0,553.0,534.0,1998.0,2199.0,3211.0,3408.0,3285.0,3130.0,3198.0
양품,571.0,573.0,552.0,533.0,2028.0,2191.0,3238.0,3408.0,3267.0,3576.0,3163.0
양품,574.0,572.0,558.0,537.0,2115.0,2155.0,2331.0,3333.0,3842.0,3018.0,2965.0
양품,572.0,572.0,555.0,536.0,2027.0,2319.0,3172.0,3555.0,3296.0,3205.0,3148.0
양품,573.0,568.0,548.0,532.0,1993.0,2162.0,3182.0,3504.0,3432.0,3134.0,3213.0
