JUDGE,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_2DRY,TAT_6PHOS_4FIRE
양품,597.0,396.0,7110.0
양품,372.0,396.0,7166.0
양품,393.0,363.0,7110.0
양품,486.0,321.0,6985.0
명점,372.0,399.0,6725.0
양품,426.0,396.0,7260.0
양품,429.0,330.0,6900.0
양품,321.0,396.0,7200.0
양품,348.0,399.0,7110.0
양품,393.0,387.0,7170.0
양품,372.0,396.0,7260.0
양품,369.0,396.0,7165.0
양품,372.0,396.0,7260.0
양품,369.0,321.0,7085.0
양품,381.0,399.0,7080.0
양품,393.0,351.0,7140.0
양품,369.0,357.0,7020.0
양품,429.0,399.0,6960.0
양품,393.0,396.0,6930.0
명점,369.0,318.0,6840.0
명점,372.0,393.0,7110.0
양품,393.0,351.0,7140.0
양품,597.0,393.0,6780.0
양품,408.0,399.0,7290.0
양품,501.0,396.0,6960.0
양품,456.0,393.0,6960.0
양품,396.0,306.0,7080.0
양품,408.0,360.0,6870.0
양품,597.0,396.0,6990.0
양품,417.0,342.0,7140.0
양품,312.0,327.0,6810.0
양품,498.0,399.0,7285.0
명점,402.0,363.0,7110.0
양품,369.0,357.0,7020.0
양품,405.0,381.0,6990.0
양품,459.0,396.0,7195.0
양품,456.0,393.0,6960.0
양품,336.0,330.0,8970.0
양품,402.0,396.0,6960.0
양품,597.0,396.0,6990.0
양품,402.0,330.0,7106.0
양품,594.0,384.0,7140.0
양품,369.0,399.0,7170.0
양품,372.0,300.0,7020.0
양품,393.0,351.0,7140.0
양품,339.0,378.0,7110.0
양품,330.0,396.0,7195.0
양품,429.0,369.0,6840.0
양품,354.0,396.0,7115.0
양품,369.0,321.0,7085.0
양품,390.0,348.0,7140.0
양품,390.0,348.0,7140.0
양품,429.0,396.0,7140.0
양품,597.0,393.0,6930.0
양품,387.0,396.0,7020.0
양품,426.0,396.0,7320.0
양품,372.0,396.0,7166.0
양품,432.0,369.0,6964.0
양품,372.0,396.0,7260.0
양품,597.0,369.0,6985.0
양품,390.0,396.0,7115.0
양품,408.0,399.0,7290.0
명점,441.0,396.0,6780.0
양품,393.0,393.0,7260.0
양품,330.0,390.0,7140.0
양품,312.0,327.0,6810.0
양품,381.0,399.0,7080.0
양품,339.0,396.0,7140.0
양품,387.0,399.0,7140.0
양품,348.0,396.0,7140.0
명점,405.0,399.0,6990.0
양품,522.0,399.0,6840.0
양품,519.0,399.0,6866.0
양품,369.0,324.0,6720.0
양품,390.0,399.0,6865.0
양품,423.0,396.0,6815.0
양품,441.0,396.0,6810.0
양품,375.0,393.0,6900.0
양품,369.0,327.0,7110.0
양품,342.0,396.0,7170.0
양품,414.0,330.0,6750.0
양품,444.0,396.0,7110.0
