JUDGE,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03
양품,44.4,98.4,88.2,115.0,115.5,176.6,59.5,93.2,96.3,46.0,139.0,76.1,102.0,362.1,326.1,38.5,92.0,92.0,23.649,61.068,60.181,60.463,23.46,31.4,34.9,2.026,2.003,564.0,580.0,596.0,573.0,532.0,510.0
양품,44.0,101.6,88.5,114.4,201.7,178.4,59.0,93.8,96.7,46.0,139.0,78.0,101.0,348.4,376.7,39.2,92.1,93.0,23.355,60.2,60.176,61.472,23.4,30.8,35.3,2.026,1.997,568.0,583.0,600.0,574.0,541.0,517.0
양품,41.5,114.1,89.0,113.6,193.0,220.9,59.5,94.0,96.6,44.0,138.0,78.3,102.0,325.8,437.3,40.6,92.7,93.0,23.35,60.285,61.092,61.562,23.402,30.944,33.186,2.04,2.043,573.0,585.0,601.0,576.0,544.0,518.0
양품,44.6,107.4,89.2,115.1,174.8,177.0,58.9,93.0,95.8,45.0,138.0,78.9,102.0,267.5,442.1,39.2,91.0,91.0,23.359,59.977,63.514,62.362,23.426,31.1,34.8,2.023,1.999,573.0,584.0,601.0,573.0,545.0,521.0
양품,44.6,110.2,88.4,115.2,196.2,166.5,58.9,93.4,96.4,46.0,139.0,78.0,101.0,416.4,353.8,46.5,93.0,93.0,23.651,62.337,62.966,61.4,23.5,30.4,34.855,2.032,2.061,565.0,581.0,597.0,575.0,539.0,519.0
양품,44.7,113.6,90.0,115.0,189.0,221.3,58.7,94.3,97.0,44.3,138.0,78.0,102.9,297.9,388.3,46.4,92.0,93.0,23.764,60.4,61.4,60.346,23.502,31.396,34.911,2.027,2.06,569.0,583.0,601.0,575.0,542.0,518.0
양품,46.0,102.8,89.0,114.7,165.9,144.5,58.6,93.0,96.0,45.9,138.0,78.1,102.0,397.6,361.1,40.4,93.0,93.0,23.614,60.854,60.016,61.429,23.419,30.891,33.3,2.029,2.026,573.0,584.0,602.0,571.0,542.0,519.0
양품,43.8,111.1,89.4,115.2,167.7,204.8,58.0,93.6,97.6,46.0,139.0,80.0,103.8,365.8,357.3,38.5,94.0,94.9,23.6,62.171,63.579,64.644,23.325,31.032,34.9,2.034,2.001,562.0,579.0,594.0,574.0,539.0,520.0
양품,44.6,96.3,88.0,114.6,230.1,121.9,58.2,93.9,96.0,47.5,137.0,77.5,100.5,324.2,411.5,42.5,92.0,93.0,23.646,62.742,63.8,63.804,23.403,31.002,34.506,2.032,2.071,578.0,589.0,604.0,567.0,535.0,513.0
양품,43.6,112.9,88.6,114.8,190.6,170.4,58.8,93.0,95.2,47.0,139.0,78.0,101.1,380.3,346.8,45.8,92.0,92.9,23.551,60.146,59.961,60.883,23.417,30.688,33.603,2.027,2.053,572.0,583.0,599.0,569.0,542.0,519.0
양품,44.6,104.9,89.0,115.2,228.3,178.2,59.2,93.0,95.6,46.8,138.0,77.0,102.0,382.3,366.2,44.3,92.0,92.0,23.495,60.023,62.391,60.3,23.5,30.474,34.12,2.03,2.065,570.0,586.0,601.0,572.0,538.0,519.0
양품,45.1,114.1,90.0,115.3,220.1,149.9,58.2,95.0,97.7,44.2,138.0,77.0,101.0,340.8,384.8,39.7,92.0,92.8,23.738,60.8,62.034,62.318,23.5,31.376,34.882,2.024,2.065,566.0,582.0,598.0,575.0,540.0,520.0
명점,44.0,102.4,88.8,114.2,217.9,132.5,58.8,93.8,96.8,45.0,139.0,78.0,102.0,382.0,320.0,49.0,100.0,100.0,23.4,61.465,61.328,61.2,23.5,31.9,34.7,2.034,2.009,563.0,580.0,596.0,575.0,540.0,518.0
양품,44.2,101.6,88.6,115.5,198.0,161.7,59.6,94.0,96.0,45.1,138.0,77.9,101.1,329.2,418.5,45.2,93.0,93.9,23.62,62.9,64.134,63.685,23.386,30.8,35.3,2.031,1.995,565.0,582.0,597.0,572.0,542.0,519.0
양품,43.8,113.2,88.8,115.4,195.1,164.9,58.0,93.0,95.4,47.9,139.0,78.0,101.0,398.4,350.1,44.7,92.9,93.0,23.668,60.7,60.225,62.243,23.417,30.699,33.7,2.03,2.054,572.0,583.0,599.0,573.0,542.0,520.0
양품,42.5,106.0,88.4,114.8,213.2,190.2,58.5,95.2,97.6,44.8,138.0,76.8,101.8,334.3,376.9,45.2,99.8,100.7,23.273,61.5,62.605,60.552,23.5,30.8,35.3,2.028,2.009,573.0,584.0,601.0,575.0,544.0,519.0
명점,44.6,107.0,88.1,114.3,235.5,163.8,59.2,93.0,95.3,46.8,138.0,76.1,100.1,323.5,403.2,49.8,91.1,92.0,23.646,60.179,60.245,61.654,23.4,30.916,33.538,2.03,2.055,570.0,582.0,597.0,570.0,542.0,519.0
양품,45.6,106.8,90.7,116.2,208.2,98.9,58.7,95.0,97.6,48.0,139.0,81.0,103.0,378.7,356.2,43.3,94.0,94.0,23.7,60.288,60.607,60.34,23.399,31.185,33.435,2.036,2.0,558.0,574.0,589.0,575.0,540.0,520.0
양품,44.8,113.6,88.8,115.2,200.8,127.2,59.2,93.6,96.9,46.7,138.0,78.7,102.0,307.3,382.0,46.9,92.1,93.0,23.403,60.505,60.076,61.568,23.356,30.807,32.898,2.026,2.056,561.0,577.0,593.0,573.0,541.0,517.0
양품,43.4,102.0,88.6,114.8,188.0,165.0,59.0,95.4,98.0,46.0,140.0,80.0,103.0,375.4,334.6,41.2,97.0,97.0,23.338,60.586,62.457,63.927,23.3,31.788,34.871,2.025,2.01,561.0,577.0,594.0,573.0,540.0,519.0
양품,41.5,104.5,88.0,114.1,170.1,181.2,58.6,93.5,96.5,44.1,138.0,83.8,103.8,338.6,383.3,41.9,104.0,105.0,23.239,62.378,64.872,64.623,23.5,30.8,35.3,2.03,1.995,571.0,586.0,602.0,575.0,540.0,518.0
양품,41.5,113.9,88.5,115.5,189.2,221.0,60.9,94.0,98.5,44.0,138.0,77.0,101.2,273.1,442.1,39.5,91.4,92.0,23.648,61.3,61.552,61.7,23.403,31.08,34.706,2.03,2.058,574.0,586.0,603.0,575.0,544.0,518.0
양품,41.5,103.8,89.5,113.5,182.6,235.9,60.5,94.0,97.0,44.0,138.0,78.0,101.3,344.6,435.3,37.8,92.3,93.0,23.63,61.395,62.916,64.829,23.401,31.111,33.487,2.035,2.054,572.0,583.0,601.0,572.0,544.0,520.0
양품,43.8,113.2,88.8,115.4,195.1,164.9,58.0,93.0,95.4,47.9,139.0,78.0,101.0,398.4,350.1,44.7,92.9,93.0,23.668,60.7,60.225,62.243,23.417,30.699,33.7,2.03,2.054,572.0,583.0,599.0,573.0,542.0,520.0
양품,45.2,120.5,89.2,114.8,185.7,180.6,59.7,94.0,95.6,45.3,139.0,78.1,102.1,403.8,332.1,46.3,92.1,93.0,23.409,60.653,61.913,62.715,23.49,31.4,34.9,2.03,2.008,572.0,583.0,601.0,575.0,541.0,520.0
