JUDGE,LOT_ID,TAT_4DIELEC_FIRE,mean,gap
0,LOT-118,6480,6625.5,-2.2453703703703707
0,LOT-118,6447,6625.5,-2.768729641693811
0,LOT-118,6630,6625.5,0.06787330316742081
1,LOT-118,6693,6625.5,1.0085163603765128
0,LOT-118,6573,6625.5,-0.7987220447284344
0,LOT-118,6420,6625.5,-3.2009345794392527
0,LOT-118,6447,6625.5,-2.768729641693811
0,LOT-118,6453,6625.5,-2.673175267317527
0,LOT-118,6507,6625.5,-1.8211157215306595
0,LOT-118,6420,6625.5,-3.2009345794392527
0,LOT-118,6480,6625.5,-2.2453703703703707
0,LOT-118,6513,6625.5,-1.7273146015660985
0,LOT-118,6600,6625.5,-0.38636363636363635
0,LOT-118,6540,6625.5,-1.3073394495412844
0,LOT-118,6540,6625.5,-1.3073394495412844
0,LOT-118,6447,6625.5,-2.768729641693811
0,LOT-118,8967,6625.5,26.11241217798595
0,LOT-118,6447,6625.5,-2.768729641693811
0,LOT-118,6453,6625.5,-2.673175267317527
0,LOT-118,6453,6625.5,-2.673175267317527
0,LOT-119,6420,6516.6,-1.5046728971962675
0,LOT-119,6513,6516.6,-0.05527406725012074
0,LOT-119,6453,6516.6,-0.9855880985588156
0,LOT-119,6453,6516.6,-0.9855880985588156
0,LOT-119,6447,6516.6,-1.079571893904147
0,LOT-119,6573,6516.6,0.8580556823368269
0,LOT-119,6567,6516.6,0.7674737322978474
0,LOT-119,6513,6516.6,-0.05527406725012074
0,LOT-119,6420,6516.6,-1.5046728971962675
0,LOT-119,6420,6516.6,-1.5046728971962675
0,LOT-119,6420,6516.6,-1.5046728971962675
0,LOT-119,6480,6516.6,-0.5648148148148204
0,LOT-119,6453,6516.6,-0.9855880985588156
0,LOT-119,6633,6516.6,1.7548620533695107
0,LOT-119,6507,6516.6,-0.14753342554172988
0,LOT-119,6600,6516.6,1.2636363636363581
0,LOT-119,6600,6516.6,1.2636363636363581
0,LOT-119,6600,6516.6,1.2636363636363581
1,LOT-119,6780,6516.6,3.8849557522123837
0,LOT-119,6480,6516.6,-0.5648148148148204
0,LOT-120,6600,6528.45,1.0840909090909119
0,LOT-120,6510,6528.45,-0.28341013824884514
0,LOT-120,6480,6528.45,-0.7476851851851823
0,LOT-120,6507,6528.45,-0.32964499769478744
0,LOT-120,6513,6528.45,-0.23721787194840807
0,LOT-120,6633,6528.45,1.5762098597919523
0,LOT-120,6507,6528.45,-0.32964499769478744
0,LOT-120,6510,6528.45,-0.28341013824884514
0,LOT-120,6447,6528.45,-1.2633783154955764
0,LOT-120,6513,6528.45,-0.23721787194840807
0,LOT-120,6627,6528.45,1.4870982344952495
0,LOT-120,6420,6528.45,-1.6892523364485952
0,LOT-120,6480,6528.45,-0.7476851851851823
0,LOT-120,6507,6528.45,-0.32964499769478744
