LOT,JUDGE,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_8AGING
195,0.1,86.2,220.5,82.95,70.4,152.7,384.2,7027.8,6497.25,529.5,78.9,383.85,82.2,375.45,86.3,7122.0,9993.45
196,0.2,87.65,214.0,84.4,70.45,160.0,374.6,6983.4,6514.65,532.5,81.2,407.55,85.5,377.1,85.3,7036.05,9977.7
197,0.15,86.1,223.0,83.2,71.05,150.1,375.4,6913.2,6520.2,533.0,81.1,436.95,81.9,376.2,84.6,7041.3,10005.35
198,0.05,86.9,218.5,83.8,69.4,151.5,377.4,6952.05,6511.8,530.0,82.1,398.1,82.2,380.55,85.5,7222.5,9960.95
199,0.1,89.45,214.0,85.75,70.7,165.9,370.6,7018.95,6513.3,543.0,77.4,395.55,77.1,376.2,80.2,7032.5,9895.75
200,0.1,86.35,219.5,85.4,70.55,156.7,369.4,7023.75,6497.25,533.5,79.9,387.75,81.4,366.6,84.8,7340.15,9977.1
201,0.15,86.8,223.0,84.25,70.05,154.7,377.2,6842.7,6486.0,533.0,82.3,387.75,82.5,384.6,85.8,7077.0,10005.6
202,0.15,87.55,221.5,85.1,70.65,156.4,375.0,7079.7,6505.8,535.0,82.2,394.95,81.8,378.0,84.4,7219.95,9961.45
203,0.15,88.15,218.0,85.2,70.15,169.4,369.0,6934.35,6518.7,531.0,79.2,423.3,80.5,378.0,84.1,7117.25,9989.65
204,0.05,88.6,218.0,85.0,70.35,169.5,367.8,6906.75,6502.35,533.5,81.1,391.65,80.7,365.1,83.8,7078.45,9940.65
205,0.05,88.3,221.0,84.9,70.95,153.0,365.2,6888.6,6492.9,544.5,80.7,402.6,83.1,377.25,84.7,7059.05,10010.25
206,0.1,86.25,219.0,84.7,71.05,152.9,372.2,6968.1,6492.3,524.0,80.6,430.2,81.5,370.05,84.8,7020.05,9977.35
207,0.2,88.75,221.5,84.4,70.2,149.8,375.4,7009.65,6535.5,530.5,79.7,381.75,79.1,379.2,82.7,7134.65,9977.6
208,0.1,87.9,214.0,85.7,70.85,173.4,375.0,7150.2,6483.0,535.5,75.4,400.8,79.8,384.0,80.3,7061.75,9928.7
209,0.1,89.1,216.5,85.85,70.1,150.4,365.8,7016.4,6515.7,534.0,80.6,394.2,81.6,381.45,83.6,7208.0,10009.55
210,0.1,89.7,220.5,85.25,71.05,151.8,369.6,7133.1,6491.7,533.0,77.1,401.85,80.5,388.95,79.4,7174.7,9973.3
211,0.1,87.75,221.5,84.7,71.85,159.1,372.4,6865.35,6477.75,533.5,79.9,395.55,80.1,379.2,85.2,7096.25,10009.95
212,0.1,88.9,224.5,84.85,70.15,161.5,373.4,6876.75,6504.0,544.0,81.6,409.8,80.5,375.9,83.7,6989.1,10006.0
213,0.15,87.55,222.0,84.55,70.4,167.5,374.6,7118.25,6484.05,528.0,78.0,386.1,77.7,369.75,80.3,7175.75,10026.25
214,0.1,87.95,218.5,84.2,70.85,165.9,376.8,6948.75,6630.3,532.0,80.8,399.3,82.0,370.8,84.7,7001.2,10011.05
215,0.1,86.15,216.0,84.25,71.7,154.2,368.2,6994.8,6501.3,535.0,82.6,391.5,83.7,379.95,84.4,7095.2,10026.0
216,0.15,88.45,220.5,83.2,71.0,155.3,367.2,6836.4,6511.95,535.5,81.1,400.5,80.1,383.25,84.8,7009.9,9912.55
217,0.15,87.2,221.5,84.25,70.45,170.8,371.8,6940.35,6516.3,531.0,80.5,416.25,80.7,370.2,84.6,7212.4,10021.75
218,0.25,86.7,221.5,84.0,70.75,150.8,372.6,7000.5,6538.65,533.5,81.6,443.1,83.6,379.35,84.4,7172.35,9961.45
219,0.15,87.1,220.0,83.85,70.95,156.0,371.6,6981.9,6499.05,534.5,82.4,417.0,81.6,371.85,84.9,7026.45,9945.15
220,0.1,88.2,220.0,84.3,70.0,157.3,370.8,6949.35,6503.7,532.0,83.4,406.2,83.3,385.2,84.2,7259.25,10005.75
221,0.1,87.5,219.0,84.25,71.1,154.1,371.0,6866.85,6502.65,536.5,80.4,402.45,80.7,379.5,85.1,7042.25,9989.8
222,0.1,88.1,219.5,84.9,70.75,147.3,369.6,6927.6,6494.25,528.0,79.8,426.9,81.7,382.05,84.2,6992.7,9993.4
223,0.15,87.4,220.5,85.25,70.7,169.5,364.2,6942.6,6547.65,535.0,83.2,417.3,81.6,377.4,85.0,7109.7,9945.45
224,0.15,88.4,216.5,84.85,69.6,151.3,376.2,6904.95,6502.05,534.0,74.9,424.5,79.6,377.7,81.8,7135.05,9961.0
225,0.2,87.25,221.0,83.85,71.25,160.9,364.8,6944.4,6614.85,544.5,81.5,402.6,82.3,389.55,84.8,7039.3,9961.45
226,0.15,88.95,219.0,85.2,71.3,155.7,380.2,7173.9,6504.0,533.5,75.6,391.05,78.3,373.95,82.2,7240.3,9912.5
227,0.15,85.55,221.5,83.95,70.0,150.0,370.2,6995.55,6515.1,526.0,77.4,419.25,81.8,372.75,82.6,7160.95,9993.4
228,0.15,87.65,218.0,84.55,70.05,155.2,372.6,6988.35,6487.95,531.5,81.1,395.4,79.8,369.6,85.4,7248.0,9994.05
229,0.05,87.95,217.0,85.65,72.0,154.6,376.6,7042.35,6466.35,523.5,74.9,380.25,77.0,384.75,81.0,7096.75,9977.2
230,0.15,89.4,218.0,84.65,71.6,165.8,372.8,6925.95,6492.0,534.5,80.0,387.15,82.2,372.3,84.7,7164.95,10009.75
231,0.05,88.9,215.5,84.25,70.95,165.3,373.2,6940.05,6486.6,530.5,82.2,401.25,80.3,381.3,84.5,6996.25,9993.45
232,0.1,88.7,217.5,85.65,70.85,160.6,369.2,6922.95,6499.35,534.5,80.9,388.95,79.8,385.65,84.7,7035.65,9966.4
233,0.05,88.55,218.5,84.6,70.75,159.4,370.8,7006.2,6489.0,545.0,80.7,421.05,80.9,391.2,83.7,7073.25,9961.6
234,0.15,88.9,220.5,85.4,71.85,183.1,371.2,7006.8,6499.05,534.0,81.1,386.85,80.3,378.15,83.0,7084.75,9912.35
235,0.15,86.8,219.5,82.55,70.35,159.1,372.8,6916.35,6492.3,534.0,76.6,418.8,75.8,387.0,81.1,7202.65,9928.75
236,0.1,87.7,217.5,84.4,70.65,163.8,366.4,7090.2,6504.0,532.0,84.0,420.75,81.8,378.15,83.7,7224.25,9945.0
237,0.1,87.65,221.5,84.5,68.95,174.2,371.2,6968.1,6488.4,533.5,80.8,432.0,80.5,384.9,85.7,6986.75,9944.9
238,0.25,89.55,216.5,84.8,70.3,161.0,370.2,7009.05,6513.6,533.5,81.5,404.85,81.1,371.1,85.2,7245.95,9994.0
239,0.1,84.75,220.5,83.05,70.75,155.5,378.0,7044.75,6490.95,533.5,79.7,405.9,81.3,382.65,85.8,7123.15,10025.95
240,0.05,85.75,225.5,84.35,70.6,166.1,371.2,6986.7,6542.1,534.0,79.7,400.5,82.0,380.55,84.3,7025.35,9961.25
241,0.05,86.75,214.0,84.4,69.7,178.1,372.0,6967.95,6601.95,543.5,81.4,414.9,81.1,378.15,85.8,7129.8,10010.1
